"",Thu Oct 01 00:00:00 CDT 2015,Sun Nov 01 00:00:00 CDT 2015,Tue Dec 01 00:00:00 CST 2015,Fri Jan 01 00:00:00 CST 2016,Mon Feb 01 00:00:00 CST 2016,Tue Mar 01 00:00:00 CST 2016,Fri Apr 01 00:00:00 CDT 2016,Sun May 01 00:00:00 CDT 2016,Wed Jun 01 00:00:00 CDT 2016,Fri Jul 01 00:00:00 CDT 2016,Mon Aug 01 00:00:00 CDT 2016,Thu Sep 01 00:00:00 CDT 2016,Sat Oct 01 00:00:00 CDT 2016,Tue Nov 01 00:00:00 CDT 2016,Thu Dec 01 00:00:00 CST 2016,Sun Jan 01 00:00:00 CST 2017,Wed Feb 01 00:00:00 CST 2017,Wed Mar 01 00:00:00 CST 2017,Sat Apr 01 00:00:00 CDT 2017,Mon May 01 00:00:00 CDT 2017,Thu Jun 01 00:00:00 CDT 2017,Sat Jul 01 00:00:00 CDT 2017,Tue Aug 01 00:00:00 CDT 2017,Fri Sep 01 00:00:00 CDT 2017,Sun Oct 01 00:00:00 CDT 2017,Tue Oct 31 00:00:00 CDT 2017
"Anthem, Inc.",null,130.380005,139.440002,130.490005,130.690002,138.990005,140.770004,132.160004,131.339996,131.339996,125.080002,125.309998,121.860001,142.529999,145.880005,154.139999,164.820007,165.380005,177.889999,182.350006,188.130005,186.210007,196.039993,189.880005,209.460007,209.210007
Procter & Gamble Company (The),null,74.839996,79.410004,81.690002,80.290001,82.309998,80.120003,81.040001,84.669998,85.589996,87.309998,89.750000,86.800003,82.459999,84.080002,87.599998,91.070000,89.849998,87.330002,88.089996,87.150002,90.820000,92.269997,90.980003,86.269997,86.339996
Alphabet Inc.,null,762.849976,778.010010,761.349976,717.219971,762.900024,707.880005,748.849976,703.530029,791.340027,789.849976,804.059998,809.900024,775.880005,809.450012,820.190002,844.929993,847.799988,924.520020,987.090027,929.679993,945.500000,944.270020,973.719971,1033.130005,1033.040039
Comcast Corporation,null,30.430000,28.215000,27.855000,28.865000,30.540001,30.379999,31.650000,32.595001,33.625000,32.630001,33.169998,30.910000,34.755001,34.525002,37.709999,37.419998,37.590000,39.189999,41.689999,38.919998,40.450001,40.610001,38.480000,36.500000,36.029999
Target Corporation,null,72.500000,72.610001,72.419998,78.449997,82.279999,79.500000,68.779999,69.820000,75.330002,70.190002,68.680000,68.730003,77.239998,72.230003,64.480003,58.770000,55.189999,55.849998,55.150002,52.290001,56.669998,54.529999,59.009998,59.549999,59.040001
Johnson & Johnson,null,101.239998,102.720001,104.440002,105.209999,108.199997,112.080002,112.690002,121.300003,125.230003,119.339996,118.129997,115.989998,111.300003,115.209999,113.250000,122.209999,124.550003,123.470001,128.250000,132.289993,132.720001,132.369995,130.009995,140.000000,139.410004
"MetLife, Inc.",null,45.534760,42.967915,39.795010,35.258469,39.162209,40.196079,40.597149,35.499107,38.092693,38.680927,39.598930,41.853832,49.028519,48.030304,48.493763,46.737968,47.076649,46.176472,45.089127,48.966133,49.019608,46.830002,51.950001,53.970001,53.580002
Archer-Daniels-Midland Company,null,36.490002,36.680000,35.349998,34.959999,36.310001,39.939999,42.770000,42.889999,45.080002,43.759998,42.169998,43.570000,43.230000,45.650002,44.259998,46.970001,46.040001,45.750000,41.580002,41.380001,42.180000,41.320000,42.509998,42.810001,40.869999
Marathon Petroleum Corporation,null,58.410000,51.840000,41.790001,34.250000,37.180000,39.080002,34.830002,37.959999,39.389999,42.509998,40.590000,43.590000,47.020000,49.439999,48.049999,49.599998,50.540001,50.939999,52.040001,52.330002,55.990002,52.450001,56.080002,59.060001,59.740002
FED HOME LOAN MTG,null,2.050000,1.620000,1.310000,1.660000,1.340000,1.550000,2.000000,1.850000,1.760000,1.720000,1.570000,1.600000,4.400000,3.740000,3.980000,2.810000,2.480000,2.860000,2.430000,2.230000,2.470000,2.620000,2.880000,3.110000,3.090000
"Pepsico, Inc.",null,100.160004,99.919998,99.300003,97.820000,102.480003,102.959999,101.169998,105.940002,108.919998,106.750000,108.769997,107.199997,100.099998,104.629997,103.779999,110.379997,111.860001,113.279999,116.870003,115.489998,116.610001,115.730003,111.430000,109.650002,110.230003
United Technologies Corporation,null,96.050003,96.070000,87.690002,96.620003,100.099998,104.370003,100.580002,102.550003,107.650002,106.430000,101.599998,102.199997,107.720001,109.620003,109.669998,112.550003,112.209999,118.989998,121.279999,122.110001,118.570000,119.720001,116.080002,119.830002,119.760002
Aetna Inc.,null,102.750000,108.120003,101.839996,108.629997,112.349998,112.269997,113.230003,122.129997,115.209999,117.120003,115.449997,107.349998,130.839996,124.010002,118.610001,128.759995,127.550003,135.070007,144.860001,151.830002,154.309998,157.699997,159.009995,171.229996,170.029999
"Lowe's Companies, Inc.",null,76.599998,76.040001,71.660004,67.529999,75.750000,76.019997,80.129997,79.169998,82.279999,76.559998,72.209999,66.650002,70.550003,74.690002,73.080002,74.370003,82.209999,84.879997,78.769997,77.529999,77.400002,73.889999,79.940002,79.410004,79.949997
